index,longitude
0,-179.297
1,-177.891
2,-176.4845
3,-175.078
4,-173.672
5,-172.2655
6,-170.859
7,-169.453
8,-168.047
9,-166.641
10,-165.2345
11,-163.828
12,-162.422
13,-161.0155
14,-159.609
15,-158.203
16,-156.797
17,-155.391
18,-153.9845
19,-152.578
20,-151.172
21,-149.7655
22,-148.359
23,-146.953
24,-145.547
25,-144.141
26,-142.7345
27,-141.328
28,-139.922
29,-138.5155
30,-137.109
31,-135.703
32,-134.297
33,-132.891
34,-131.4845
35,-130.078
36,-128.672
37,-127.2655
38,-125.85900000000001
39,-124.453
40,-123.047
41,-121.64099999999999
42,-120.2345
43,-118.828
44,-117.422
45,-116.0155
46,-114.60900000000001
47,-113.203
48,-111.797
49,-110.39099999999999
50,-108.9845
51,-107.578
52,-106.172
53,-104.7655
54,-103.35900000000001
55,-101.953
56,-100.547
57,-99.14099999999999
58,-97.7345
59,-96.328
60,-94.922
61,-93.5155
62,-92.10900000000001
63,-90.703
64,-89.297
65,-87.89099999999999
66,-86.4845
67,-85.078
68,-83.672
69,-82.2655
70,-80.85900000000001
71,-79.453
72,-78.047
73,-76.64099999999999
74,-75.2345
75,-73.828
76,-72.422
77,-71.0155
78,-69.60900000000001
79,-68.203
80,-66.797
81,-65.39099999999999
82,-63.9845
83,-62.578
84,-61.172
85,-59.7655
86,-58.358999999999995
87,-56.953
88,-55.547
89,-54.141000000000005
90,-52.7345
91,-51.328
92,-49.922
93,-48.5155
94,-47.108999999999995
95,-45.703
96,-44.297
97,-42.891000000000005
98,-41.4845
99,-40.078
100,-38.672
101,-37.2655
102,-35.858999999999995
103,-34.453
104,-33.047
105,-31.641
106,-30.234499999999997
107,-28.828
108,-27.422
109,-26.015500000000003
110,-24.609
111,-23.203
112,-21.797
113,-20.391
114,-18.984499999999997
115,-17.578
116,-16.172
117,-14.7655
118,-13.359
119,-11.953
120,-10.547
121,-9.141
122,-7.734500000000001
123,-6.327999999999999
124,-4.922000000000001
125,-3.5155000000000003
126,-2.109
127,-0.703
128,0.703
129,2.109
130,3.5155000000000003
131,4.922000000000001
132,6.327999999999999
133,7.734500000000001
134,9.141
135,10.547
136,11.953
137,13.359
138,14.7655
139,16.172
140,17.578
141,18.984499999999997
142,20.391
143,21.797
144,23.203
145,24.609
146,26.015500000000003
147,27.422
148,28.828
149,30.234499999999997
150,31.641
151,33.047
152,34.453
153,35.858999999999995
154,37.2655
155,38.672
156,40.078
157,41.4845
158,42.891000000000005
159,44.297
160,45.703
161,47.108999999999995
162,48.5155
163,49.922
164,51.328
165,52.7345
166,54.141000000000005
167,55.547
168,56.953
169,58.358999999999995
170,59.7655
171,61.172
172,62.578
173,63.9845
174,65.39099999999999
175,66.797
176,68.203
177,69.60900000000001
178,71.0155
179,72.422
180,73.828
181,75.2345
182,76.64099999999999
183,78.047
184,79.453
185,80.85900000000001
186,82.2655
187,83.672
188,85.078
189,86.4845
190,87.89099999999999
191,89.297
192,90.703
193,92.10900000000001
194,93.5155
195,94.922
196,96.328
197,97.7345
198,99.14099999999999
199,100.547
200,101.953
201,103.35900000000001
202,104.7655
203,106.172
204,107.578
205,108.9845
206,110.39099999999999
207,111.797
208,113.203
209,114.60900000000001
210,116.0155
211,117.422
212,118.828
213,120.2345
214,121.64099999999999
215,123.047
216,124.453
217,125.85900000000001
218,127.2655
219,128.672
220,130.078
221,131.4845
222,132.891
223,134.297
224,135.703
225,137.109
226,138.5155
227,139.922
228,141.328
229,142.7345
230,144.141
231,145.547
232,146.953
233,148.359
234,149.7655
235,151.172
236,152.578
237,153.9845
238,155.391
239,156.797
240,158.203
241,159.609
242,161.0155
243,162.422
244,163.828
245,165.2345
246,166.641
247,168.047
248,169.453
249,170.859
250,172.2655
251,173.672
252,175.078
253,176.4845
254,177.891
255,179.297
