feature,mean_abs_shap
dgoal_north_scaled,0.30959605696333603
depth_norm,0.12706754425616384
hist_0_vessel_rel_north,0.10598146785533606
hist_1_vessel_rel_north,0.09776703338315418
hist_1_vessel_rel_east,0.09584232572709733
beam_5_vessel_rel_north,0.07757639113174664
hist_0_vessel_rel_east,0.07707460587610841
beam_2_vessel_rel_east,0.07393568557627442
beam_2_vessel_rel_north,0.06818318840840511
hist_0_depth_norm,0.06710279543420185
hist_3_dgoal_east,0.05588355972711288
hist_3_vessel_rel_north,0.05280676636501339
beam_7_vessel_rel_north,0.050398408545485295
hist_2_dgoal_east,0.044637386328226426
cur_col,0.04377612579933775
hist_1_dgoal_east,0.04349662992461816
beam_0_dgoal_north,0.042479217698406874
hist_1_depth_norm,0.042440956942258336
hist_2_vessel_rel_north,0.04128666982322464
beam_2_dgoal_north,0.04022530332176684
beam_3_vessel_rel_east,0.03482251964679017
beam_6_vessel_rel_north,0.033965456958764115
beam_5_depth_norm,0.03360352135616413
hist_4_vessel_rel_north,0.03216006565313292
hist_0_dgoal_east,0.029794232118809313
hist_2_depth_norm,0.026789706092477723
beam_2_depth_norm,0.026699847941412006
beam_1_wave_height,0.02629712222345989
beam_3_dgoal_north,0.024783747639603095
hist_0_dgoal_north,0.024598210112738893
beam_2_wind_u,0.02411952735021696
beam_6_depth_norm,0.02382673254623078
beam_3_vessel_rel_north,0.02284087096867006
beam_7_vessel_rel_east,0.022675390241615245
hist_4_depth_norm,0.022196343654848537
beam_4_dgoal_north,0.021598373059005825
beam_7_current_v,0.020601693471796172
beam_1_depth_norm,0.020600072077903313
beam_5_wave_height,0.020503636863119037
beam_0_wave_height,0.019857045418873894
beam_4_vessel_rel_east,0.01935115872918686
beam_0_depth_norm,0.019209208754370048
beam_7_depth_norm,0.019054955780668383
beam_4_depth_norm,0.018910090894660246
hist_2_vessel_rel_east,0.018816436966026955
hist_0_wave_height,0.01879356539466571
hist_3_depth_norm,0.018765836358951495
beam_7_dgoal_north,0.018376684447027215
beam_2_wave_height,0.01824096901578596
beam_1_dgoal_north,0.018099968507234006
beam_3_wind_v,0.01797338205489941
beam_5_wind_v,0.01744619827148126
hist_1_dgoal_north,0.01678791991270555
hist_0_wind_u,0.01663025631184792
beam_3_wave_height,0.016444362440157418
beam_6_wave_height,0.01628466213408974
beam_1_current_v,0.01604602869792725
beam_6_wind_v,0.016021640710088107
hist_1_wind_v,0.01592746675657254
beam_1_wind_v,0.01591461296984471
beam_3_wind_u,0.01575301938702614
beam_1_vessel_rel_east,0.014460241691500415
beam_3_depth_norm,0.014446125141991067
beam_0_wind_u,0.014385478804788727
beam_4_current_v,0.01409585982792487
beam_0_current_v,0.013716935490559263
hist_5_vessel_rel_north,0.013608341327145175
hist_2_wave_height,0.01333618247826307
beam_0_dgoal_east,0.013203301215008836
dgoal_east_scaled,0.012984070109954336
hist_1_wave_height,0.01296519195688597
beam_0_wind_v,0.01295915881002002
beam_4_wave_height,0.012914853905922064
beam_3_current_v,0.01289305293495708
beam_2_wind_v,0.012876378766119889
beam_1_wind_u,0.012648832549818325
beam_7_wave_height,0.012150256443445688
beam_3_current_u,0.01179583912334492
beam_1_current_u,0.011288826194015564
hist_3_current_v,0.011267797668107234
beam_6_current_v,0.011116979307732982
hist_0_wind_v,0.010993603549768161
beam_5_wind_u,0.01089671775118477
beam_5_current_u,0.01089607894814471
beam_7_wind_u,0.010875440109074406
beam_1_vessel_rel_north,0.010453053490200544
hist_3_dgoal_north,0.010330921772540025
beam_6_dgoal_north,0.010199738147106835
hist_5_dgoal_east,0.010167115279446444
beam_4_vessel_rel_north,0.010119548461996601
hist_0_current_v,0.010101432707284403
beam_6_current_u,0.010060665162061196
hist_5_depth_norm,0.01004894329373783
hist_3_current_u,0.010037465512363994
hist_2_dgoal_north,0.01001840182541182
beam_2_current_v,0.00997008204527956
beam_7_wind_v,0.009904351738041441
beam_5_dgoal_north,0.009710853199583654
beam_6_dgoal_east,0.009668447027901128
beam_5_current_v,0.009570265651051157
hist_5_wind_u,0.00955286688726046
beam_7_current_u,0.009436426759544701
beam_0_current_u,0.00928032994777459
beam_4_current_u,0.009228361985955417
beam_4_wind_u,0.009158753639355562
beam_4_wind_v,0.009034014205110727
beam_2_dgoal_east,0.008965757811069489
beam_4_dgoal_east,0.008939262071694248
hist_3_wind_u,0.008813094078208086
hist_4_dgoal_east,0.00873908087377058
hist_5_current_u,0.008614588188852941
beam_2_current_u,0.008589438159019483
hist_5_current_v,0.008455265295749996
hist_4_wind_u,0.008440703051211312
hist_2_current_v,0.008410037835859112
beam_6_wind_u,0.008371485461034897
hist_1_current_v,0.008340059102499802
cur_row,0.008293699466474937
hist_2_current_u,0.007973386313386437
beam_1_dgoal_east,0.0075060132632919704
hist_2_wind_u,0.007438438759050041
hist_2_wind_v,0.0071182005950046
beam_5_dgoal_east,0.007004323185210524
hist_4_current_v,0.006804061559034744
hist_3_wave_height,0.006782337899945559
hist_5_wave_height,0.006719275605103756
hist_0_current_u,0.006625633911391194
beam_7_dgoal_east,0.006489392744167708
hist_1_current_u,0.0064675676418359225
hist_4_wave_height,0.00641743184190709
hist_5_dgoal_north,0.006201819822720427
hist_1_wind_u,0.005957337807200384
hist_4_current_u,0.005784249603492208
hist_4_dgoal_north,0.0057633739676181
beam_0_vessel_rel_east,0.005701462301540597
hist_5_wind_v,0.005589624360736342
beam_3_dgoal_east,0.0054472407234308785
beam_5_vessel_rel_east,0.005191148069465999
hist_3_vessel_rel_east,0.0050352748865407195
beam_6_vessel_rel_east,0.0046894999870521125
hist_3_wind_v,0.004422936255848618
hist_4_wind_v,0.004054733449988999
hist_1_start,0.003855240405863151
hist_5_vessel_rel_east,0.003837652195020928
hist_4_vessel_rel_east,0.0036547379037569034
beam_0_vessel_rel_north,0.0034512354779653825
hist_0_start,0.0030300932441605253
start_flag,0.002338734157662839
hist_2_start,0.0013484784780303013
hist_1_here,0.0012919477462768555
hist_5_start,0.0010212042322382332
beam_4_goal,0.000631558346701786
hist_4_start,0.0005452844486571848
hist_0_here,0.0004605914798332377
hist_3_start,0.00021522427818272262
hist_5_here,9.13980165059911e-05
hist_2_here,7.745544217759743e-05
hist_4_here,3.0461927596479644e-05
hist_3_here,1.5195735974702983e-05
hist_0_goal,9.931507706642151e-06
start_col,0.0
loa_norm,0.0
start_row,0.0
goal_col,0.0
beam_4_start,0.0
beam_4_here,0.0
beam_3_here,0.0
beam_3_start,0.0
beam_3_goal,0.0
beam_2_goal,0.0
beam_2_here,0.0
beam_2_start,0.0
company_id,0.0
goal_flag,0.0
beam_0_here,0.0
beam_0_start,0.0
goal_row,0.0
beam_1_here,0.0
beam_1_start,0.0
beam_1_goal,0.0
beam_0_goal,0.0
here_flag,0.0
beam_7_here,0.0
beam_5_goal,0.0
beam_5_start,0.0
beam_6_goal,0.0
beam_6_here,0.0
beam_6_start,0.0
beam_5_here,0.0
beam_7_goal,0.0
beam_7_start,0.0
hist_1_goal,0.0
hist_3_goal,0.0
hist_2_goal,0.0
hist_4_goal,0.0
hist_5_goal,0.0
